State,Title,Size,AvgSalary
Alabama,Computer Programmers,1860,97020
Alabama,Software Developers,17130,110630
Alabama,Software Quality Assurance Analysts and Testers,1850,101520
Alabama,Web Developers,1120,66750
Alabama,Web and Digital Interface Designers,150,54470
Alaska,Computer Programmers,430,95490
Alaska,Software Developers,280,145630
Alaska,Software Quality Assurance Analysts and Testers,8890,107600
Alaska,Web Developers,60,98970
Alaska,Web and Digital Interface Designers,60,71020
Arizona,Computer Programmers,3010,96700
Arizona,Software Developers,38540,128040
Arizona,Software Quality Assurance Analysts and Testers,3460,98250
Arizona,Web Developers,1860,77620
Arizona,Web and Digital Interface Designers,1330,97850
Arkansas,Computer Programmers,1700,97580
Arkansas,Software Developers,5650,88130
Arkansas,Web Developers,540,48730
Arkansas,Web and Digital Interface Designers,540,60420
California,Computer Programmers,20680,124660
California,Software Developers,304390,173780
California,Software Quality Assurance Analysts and Testers,32940,132750
California,Web Developers,10590,121490
California,Web and Digital Interface Designers,25370,137180
Colorado,Computer Programmers,1420,115550
Colorado,Software Developers,45270,145420
Colorado,Software Quality Assurance Analysts and Testers,6430,114210
Colorado,Web Developers,2460,78450
Colorado,Web and Digital Interface Designers,2720,115720
Connecticut,Computer Programmers,1850,108000
Connecticut,Software Developers,18380,128450
Connecticut,Software Quality Assurance Analysts and Testers,1300,96610
Connecticut,Web Developers,740,95810
Connecticut,Web and Digital Interface Designers,710,79290
Delaware,Computer Programmers,440,102700
Delaware,Software Developers,4850,131650
Delaware,Software Quality Assurance Analysts and Testers,590,113210
Delaware,Web Developers,130,107190
Delaware,Web and Digital Interface Designers,8890,66810
District of Columbia,Computer Programmers,1400,99140
District of Columbia,Software Developers,8470,146060
District of Columbia,Software Quality Assurance Analysts and Testers,690,122160
District of Columbia,Web Developers,670,123640
District of Columbia,Web and Digital Interface Designers,1220,96270
Florida,Computer Programmers,5050,97480
Florida,Software Developers,86550,120490
Florida,Software Quality Assurance Analysts and Testers,11620,97240
Florida,Web Developers,5860,95360
Florida,Web and Digital Interface Designers,3700,89950
Georgia,Computer Programmers,3340,95500
Georgia,Software Developers,51960,125290
Georgia,Software Quality Assurance Analysts and Testers,6060,99030
Georgia,Web Developers,1300,106100
Georgia,Web and Digital Interface Designers,2740,101970
Hawaii,Computer Programmers,160,86590
Hawaii,Software Developers,2740,113860
Hawaii,Software Quality Assurance Analysts and Testers,8890,112880
Hawaii,Web Developers,250,97580
Hawaii,Web and Digital Interface Designers,8890,81780
Idaho,Computer Programmers,250,100540
Idaho,Software Developers,5910,135000
Idaho,Software Quality Assurance Analysts and Testers,720,119560
Idaho,Web Developers,8890,70000
Idaho,Web and Digital Interface Designers,490,61480
Illinois,Computer Programmers,1700,96810
Illinois,Software Developers,56290,123700
Illinois,Software Quality Assurance Analysts and Testers,7700,94850
Illinois,Web Developers,4260,93100
Illinois,Web and Digital Interface Designers,3220,82100
Indiana,Computer Programmers,3410,98000
Indiana,Software Developers,13440,110580
Indiana,Software Quality Assurance Analysts and Testers,1550,88630
Indiana,Web Developers,1190,66220
Indiana,Web and Digital Interface Designers,1170,64170
Iowa,Computer Programmers,1140,83520
Iowa,Software Developers,9730,110280
Iowa,Software Quality Assurance Analysts and Testers,1320,86940
Iowa,Web Developers,430,79550
Iowa,Web and Digital Interface Designers,670,77520
Kansas,Computer Programmers,510,97860
Kansas,Software Developers,14490,110520
Kansas,Software Quality Assurance Analysts and Testers,1200,87510
Kansas,Web Developers,600,78290
Kansas,Web and Digital Interface Designers,500,79700
Kentucky,Computer Programmers,1220,97450
Kentucky,Software Developers,5800,106070
Kentucky,Software Quality Assurance Analysts and Testers,1350,75120
Kentucky,Web Developers,440,75670
Kentucky,Web and Digital Interface Designers,860,95110
Louisiana,Computer Programmers,1680,97580
Louisiana,Software Developers,3960,128980
Louisiana,Software Quality Assurance Analysts and Testers,330,75070
Louisiana,Web Developers,370,64370
Louisiana,Web and Digital Interface Designers,210,60650
Maine,Computer Programmers,390,97720
Maine,Software Developers,3220,117150
Maine,Software Quality Assurance Analysts and Testers,310,87090
Maine,Web Developers,290,92630
Maine,Web and Digital Interface Designers,210,78530
Maryland,Computer Programmers,2980,109520
Maryland,Software Developers,30700,150740
Maryland,Software Quality Assurance Analysts and Testers,7440,119570
Maryland,Web Developers,2070,97510
Maryland,Web and Digital Interface Designers,1260,92440
Massachusetts,Computer Programmers,4120,114450
Massachusetts,Software Developers,59960,146580
Massachusetts,Software Quality Assurance Analysts and Testers,6400,118720
Massachusetts,Web Developers,8890,96010
Massachusetts,Web and Digital Interface Designers,2340,113650
Michigan,Computer Programmers,4050,90700
Michigan,Software Developers,44140,108080
Michigan,Software Quality Assurance Analysts and Testers,3280,85160
Michigan,Web Developers,1030,90270
Michigan,Web and Digital Interface Designers,1770,75060
Minnesota,Computer Programmers,2080,101180
Minnesota,Software Developers,38570,120210
Minnesota,Software Quality Assurance Analysts and Testers,2640,101950
Minnesota,Web Developers,2040,102560
Minnesota,Web and Digital Interface Designers,1500,88000
Mississippi,Computer Programmers,8890,69730
Mississippi,Software Developers,3090,89940
Mississippi,Software Quality Assurance Analysts and Testers,430,85620
Mississippi,Web Developers,170,65190
Mississippi,Web and Digital Interface Designers,180,73400
Missouri,Computer Programmers,2930,75010
Missouri,Software Developers,18450,107980
Missouri,Software Quality Assurance Analysts and Testers,3020,76900
Missouri,Web Developers,8890,81130
Missouri,Web and Digital Interface Designers,1100,76230
Montana,Computer Programmers,360,90890
Montana,Software Developers,2370,131380
Montana,Software Quality Assurance Analysts and Testers,170,77780
Montana,Web Developers,180,61000
Montana,Web and Digital Interface Designers,230,90480
Nebraska,Computer Programmers,1310,94820
Nebraska,Software Developers,8270,112340
Nebraska,Software Quality Assurance Analysts and Testers,1660,91450
Nebraska,Web Developers,8890,81270
Nebraska,Web and Digital Interface Designers,840,66710
Nevada,Computer Programmers,600,98890
Nevada,Software Developers,5030,133490
Nevada,Software Quality Assurance Analysts and Testers,870,80750
Nevada,Web Developers,270,70600
Nevada,Web and Digital Interface Designers,870,100410
New Hampshire,Computer Programmers,580,88450
New Hampshire,Software Developers,9250,128440
New Hampshire,Software Quality Assurance Analysts and Testers,790,102370
New Hampshire,Web Developers,400,92980
New Hampshire,Web and Digital Interface Designers,290,87890
New Jersey,Computer Programmers,5460,122830
New Jersey,Software Developers,54570,134970
New Jersey,Software Quality Assurance Analysts and Testers,6540,115180
New Jersey,Web Developers,2400,85490
New Jersey,Web and Digital Interface Designers,3480,93020
New Mexico,Computer Programmers,830,81330
New Mexico,Software Developers,4270,125860
New Mexico,Software Quality Assurance Analysts and Testers,550,123060
New Mexico,Web and Digital Interface Designers,8890,75440
New York,Computer Programmers,8430,116230
New York,Software Developers,105460,150020
New York,Software Quality Assurance Analysts and Testers,11750,123920
New York,Web Developers,5950,94340
New York,Web and Digital Interface Designers,15180,125100
North Carolina,Computer Programmers,3390,103100
North Carolina,Software Developers,58620,130970
North Carolina,Software Quality Assurance Analysts and Testers,8360,100100
North Carolina,Web Developers,1660,82110
North Carolina,Web and Digital Interface Designers,3070,90280
North Dakota,Computer Programmers,230,92760
North Dakota,Software Developers,1840,106870
North Dakota,Software Quality Assurance Analysts and Testers,150,81430
North Dakota,Web Developers,160,68970
North Dakota,Web and Digital Interface Designers,8890,73590
Ohio,Computer Programmers,1890,83870
Ohio,Software Developers,42250,112610
Ohio,Software Quality Assurance Analysts and Testers,4500,88900
Ohio,Web Developers,1580,90530
Ohio,Web and Digital Interface Designers,2010,87330
Oklahoma,Computer Programmers,1030,112410
Oklahoma,Software Developers,7670,111100
Oklahoma,Software Quality Assurance Analysts and Testers,1210,72340
Oklahoma,Web Developers,400,85380
Oklahoma,Web and Digital Interface Designers,510,66210
Oregon,Computer Programmers,1800,111030
Oregon,Software Developers,21650,131310
Oregon,Software Quality Assurance Analysts and Testers,2170,97840
Oregon,Web Developers,1100,74620
Oregon,Web and Digital Interface Designers,1620,110460
Pennsylvania,Computer Programmers,4320,94120
Pennsylvania,Software Developers,41300,117110
Pennsylvania,Software Quality Assurance Analysts and Testers,5490,93720
Pennsylvania,Web Developers,2690,103540
Pennsylvania,Web and Digital Interface Designers,2540,86820
Rhode Island,Computer Programmers,430,97170
Rhode Island,Software Developers,5460,135030
Rhode Island,Software Quality Assurance Analysts and Testers,320,101820
Rhode Island,Web Developers,620,74750
Rhode Island,Web and Digital Interface Designers,8890,104200
South Carolina,Computer Programmers,1160,103460
South Carolina,Software Developers,11810,116790
South Carolina,Software Quality Assurance Analysts and Testers,1610,88310
South Carolina,Web Developers,1060,90670
South Carolina,Web and Digital Interface Designers,660,77650
South Dakota,Computer Programmers,100,65320
South Dakota,Software Developers,2240,94500
South Dakota,Software Quality Assurance Analysts and Testers,310,68260
South Dakota,Web Developers,400,52770
South Dakota,Web and Digital Interface Designers,90,108910
Tennessee,Computer Programmers,1410,118190
Tennessee,Software Developers,16560,113410
Tennessee,Software Quality Assurance Analysts and Testers,2320,84300
Tennessee,Web Developers,1580,81940
Tennessee,Web and Digital Interface Designers,1800,74910
Texas,Computer Programmers,7530,100470
Texas,Software Developers,138510,125890
Texas,Software Quality Assurance Analysts and Testers,22070,103890
Texas,Web Developers,6130,98090
Texas,Web and Digital Interface Designers,8460,105320
Utah,Computer Programmers,2020,100430
Utah,Software Developers,25930,121260
Utah,Software Quality Assurance Analysts and Testers,3060,84520
Utah,Web Developers,1580,75200
Utah,Web and Digital Interface Designers,1290,103440
Vermont,Computer Programmers,150,86390
Vermont,Software Developers,1710,120030
Vermont,Software Quality Assurance Analysts and Testers,100,71230
Vermont,Web Developers,190,83470
Vermont,Web and Digital Interface Designers,8890,89280
Virginia,Computer Programmers,2440,104790
Virginia,Software Developers,86680,139920
Virginia,Software Quality Assurance Analysts and Testers,9120,114330
Virginia,Web Developers,4640,112590
Virginia,Web and Digital Interface Designers,3530,85010
Washington,Computer Programmers,3460,158520
Washington,Software Developers,89110,159990
Washington,Software Quality Assurance Analysts and Testers,10840,123280
Washington,Web Developers,4820,120910
Washington,Web and Digital Interface Designers,8250,119920
West Virginia,Computer Programmers,250,75420
West Virginia,Software Developers,1890,94080
West Virginia,Software Quality Assurance Analysts and Testers,360,63530
West Virginia,Web Developers,300,83570
West Virginia,Web and Digital Interface Designers,90,66640
Wisconsin,Computer Programmers,2280,91770
Wisconsin,Software Developers,21800,107500
Wisconsin,Software Quality Assurance Analysts and Testers,3540,88280
Wisconsin,Web Developers,2880,70170
Wisconsin,Web and Digital Interface Designers,820,91270
Wyoming,Computer Programmers,8890,78560
Wyoming,Software Developers,670,127790
Wyoming,Web Developers,40,64560
Wyoming,Web and Digital Interface Designers,200,97900
Puerto Rico,Computer Programmers,1020,51910
Puerto Rico,Software Developers,1440,60960
Puerto Rico,Software Quality Assurance Analysts and Testers,270,54410
Puerto Rico,Web Developers,260,54010
Puerto Rico,Web and Digital Interface Designers,160,41550
Virgin Islands,Software Developers,30,132690
